Daily Weather Observations for Darwin, Northern Territory for March 2020
Prepared at 13:03 UTC on Tuesday  7 April 2020   IDCJDW8014.202003
Copyright 2003 Commonwealth Bureau of Meteorology
Observations were drawn from Darwin Airport {station 014015}

",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-03-11,25.4,33.4,0,5.1,10.5,WNW,33,16:42,29.6,77,7,WNW,11,1010.2,33.0,58,5,WNW,20,1007.9
,2020-03-12,25.7,33.2,0,7.0,11.6,NW,33,13:53,29.7,71,2,WSW,11,1011.5,32.8,60,4,WNW,20,1008.9
,2020-03-13,26.8,33.5,0,6.8,11.5,WNW,33,16:04,30.3,71,1,W,11,1011.5,33.3,61,1,WNW,24,1008.5
,2020-03-14,27.7,34.0,0,7.4,9.2,W,44,15:12,30.1,74,3,WSW,11,1009.1,32.5,65,3,WNW,28,1005.6
,2020-03-15,22.6,33.2,26.6,6.4,7.2,SSE,46,23:14,26.4,89,7,W,6,1010.1,32.0,69,2,WNW,20,1007.1
,2020-03-16,24.2,34.3,2.6,4.8,10.7,ESE,33,02:17,29.4,70,4,E,11,1012.1,33.5,49,1,N,9,1009.3
,2020-03-17,25.7,33.9,0,6.8,7.7,ENE,33,08:51,25.7,83,7,ENE,24,1014.4,33.0,50,2,WNW,13,1010.4
,2020-03-18,25.6,33.0,1.4,3.2,10.0,NNW,35,13:55,28.3,80,2,S,13,1014.0,30.6,67,3,NNW,9,1010.4
,2020-03-19,24.5,33.9,3.0,6.2,11.1,NE,43,03:22,29.0,71,2,E,19,1013.5,33.9,42,1,ESE,20,1010.3
,2020-03-20,26.0,34.1,0,7.2,10.5,NE,39,13:15,30.0,64,4,ESE,17,1012.8,32.9,52,7,NE,22,1010.2
,2020-03-21,26.1,34.9,0,7.0,9.9,E,35,13:38,29.3,72,4,E,22,1013.5,34.0,44,4,ESE,15,1009.7
,2020-03-22,24.0,34.8,0,8.0,9.6,SE,41,07:17,29.9,58,6,ESE,11,1012.6,34.4,37,5,ESE,20,1008.8
,2020-03-23,26.6,33.9,0,7.0,9.0,NNW,31,13:39,29.4,75,6,S,7,1012.1,31.4,67,5,NNW,15,1007.9
,2020-03-24,26.5,31.8,4.2,4.4,2.9,NNE,31,17:42,29.5,79,7, ,Calm,1009.8,28.3,82,7,SE,6,1006.8
,2020-03-25,24.2,32.0,19.8,4.4,8.5,ENE,46,15:34,27.4,83,7,ESE,13,1010.2,29.3,75,7,ENE,17,1007.3
,2020-03-26,24.1,32.7,0.6,3.4,6.8,ENE,35,11:45,25.9,86,4,E,17,1011.2,31.2,63,7,ENE,20,1008.6
,2020-03-27,25.9,33.7,0,5.6,3.8,NE,30,00:00,28.6,75,7,E,9,1011.4,33.4,51,7,E,11,1007.9
,2020-03-28,24.9,35.1,0,5.6,9.8,NE,30,00:01,28.6,80,7,S,6,1010.6,34.9,40,7,E,9,1007.2
,2020-03-29,25.4,34.6,0,6.0,10.8,NW,31,14:45,29.5,76,2,SW,4,1010.0,33.2,62,4,WNW,20,1006.6
,2020-03-30,26.4,35.9,0,6.8,10.9,NNW,26,11:57,30.7,73,2,ESE,4,1010.6,33.0,61,2,NNW,17,1006.8
,2020-03-31,25.3,33.4,0,6.8,9.2,ENE,44,13:50,29.8,63,2,NE,7,1010.7,30.3,70,5,N,7,1007.4
,2020-04-1,25.4,34.0,1.6,8.6,11.1,N,26,17:04,29.0,68,2,SE,7,1010.6,33.2,57,2,NNW,15,1007.5
,2020-04-2,26.9,33.5,0,5.6,10.1,N,24,13:36,30.4,71,4,E,6,1011.8,32.7,61,4,NNW,15,1007.3
,2020-04-3,25.7,33.2,26.6,6.2,7.7,ENE,30,01:37,28.8,81,7, ,Calm,1011.0,32.3,62,4,NW,19,1007.5
,2020-04-4,26.7,33.7,0.4,5.3,8.0,WNW,37,16:49,30.0,80,6,SSE,2,1010.5,33.0,59,2,WNW,24,1007.2
,2020-04-5,24.7,29.3,32.6,5.6,0.0,ESE,43,08:30,24.9,94,7,NW,9,1010.7,28.7,80,8,WNW,4,1008.7
,2020-04-6,24.7,33.9,0,1.4,10.5,NNE,46,23:35,28.4,83,3,SE,13,1011.9,33.1,50,6,ESE,17,1008.1
,2020-04-7,24.4,34.1,0,6.4,10.2,ESE,30,00:59,28.9,72,7,ESE,11,1011.6,33.2,46,7,E,9,1007.5
,2020-04-8,25.4,33.6,0,5.6,7.2,E,26,09:32,28.6,72,7,ESE,17,1011.0,31.9,59,7,NW,17,1008.1
,2020-04-9,23.4,31.1,5.6,5.8,7.2,ESE,33,06:20,24.7,88,7,E,19,1012.7,30.0,58,7,ENE,17,1010.6
,2020-04-10,24.5,31.9,0.2,5.8,6.2,S,37,22:27,28.1,65,1,E,20,1013.3,26.0,83,7,E,17,1010.2
,2020-04-11,20.5,29.2,20.2,6.2,3.1,S,37,01:00,23.8,87,7,SSE,17,1012.6,28.1,73,7,ENE,24,1009.9
,2020-04-12,23.8,,0,3.0,,,,,26.3,80,8,ENE,19,1011.7,31.8,61,5,NNE,9,1008.9
